Ablation,QueryType,Hit@1,Hit@3,Hit@5,MRR
key_original,request,0.9750889679715302,0.99644128113879,0.99644128113879,0.9857651245551602
key_original,described,0.9110320284697508,0.9750889679715302,0.9928825622775801,0.9463819691577697
key_original,implied,0.8825622775800712,0.9750889679715302,0.9893238434163701,0.9304270462633452
key_nlp,request,0.9395017793594306,0.9928825622775801,0.99644128113879,0.9635231316725978
key_nlp,described,0.8469750889679716,0.9786476868327402,0.9928825622775801,0.9114472123368921
key_nlp,implied,0.8434163701067615,0.9608540925266904,0.9857651245551602,0.9040925266903914
key_llm,request,0.9430604982206405,0.9822064056939501,0.99644128113879,0.9652431791221827
key_llm,described,0.8362989323843416,0.9679715302491103,0.9750889679715302,0.8994068801897984
key_llm,implied,0.8398576512455516,0.9572953736654805,0.9750889679715302,0.8979240806642942
desc_original,request,0.9537366548042705,0.9928825622775801,0.9928825622775801,0.9697508896797153
desc_original,described,0.8612099644128114,0.9608540925266904,0.9786476868327402,0.912574139976275
desc_original,implied,0.8612099644128114,0.9644128113879004,0.9893238434163701,0.9171411625148281
desc_llm,request,0.9679715302491103,0.9893238434163701,0.99644128113879,0.9796559905100829
desc_llm,described,0.9110320284697508,0.9750889679715302,0.9786476868327402,0.9403914590747331
desc_llm,implied,0.896797153024911,0.9786476868327402,0.9822064056939501,0.9342823250296559
full_OG,request,0.9572953736654805,0.99644128113879,0.99644128113879,0.9744958481613287
full_OG,described,0.900355871886121,0.9750889679715302,0.9928825622775801,0.9388493475682089
full_OG,implied,0.8896797153024911,0.9644128113879004,0.9893238434163701,0.9303084223013047
full_nlp,request,0.9288256227758007,0.9786476868327402,0.99644128113879,0.9558718861209965
full_nlp,described,0.8149466192170819,0.9572953736654805,0.9822064056939501,0.8893831553973902
full_nlp,implied,0.8576512455516014,0.9572953736654805,0.9857651245551602,0.9100830367734283
full_llm,request,0.9430604982206405,0.9822064056939501,0.9928825622775801,0.9633451957295374
full_llm,described,0.8683274021352313,0.9430604982206405,0.9679715302491103,0.9084223013048636
full_llm,implied,0.8718861209964412,0.9644128113879004,0.9750889679715302,0.915717674970344
onlykey_original,request,0.9750889679715302,1.0,1.0,0.9863582443653619
onlykey_original,described,0.9074733096085409,0.9893238434163701,0.99644128113879,0.9470344009489917
onlykey_original,implied,0.8932384341637011,0.9644128113879004,0.9786476868327402,0.9294187425860024
onlykey_nlp,request,0.9252669039145908,0.9928825622775801,1.0,0.9565243179122181
onlykey_nlp,described,0.8434163701067615,0.9786476868327402,0.9928825622775801,0.9084816132858838
onlykey_nlp,implied,0.8505338078291815,0.9501779359430605,0.9857651245551602,0.9052194543297748
onlykey_llm,request,0.9430604982206405,0.9822064056939501,0.99644128113879,0.9652431791221827
onlykey_llm,described,0.8362989323843416,0.9572953736654805,0.9644128113879004,0.8938315539739028
onlykey_llm,implied,0.8256227758007118,0.9501779359430605,0.9679715302491103,0.8870699881376038
onlytopic_original,request,0.9893238434163701,0.99644128113879,0.99644128113879,0.9922894424673785
onlytopic_original,described,0.9039145907473309,0.9786476868327402,0.9786476868327402,0.9377224199288257
onlytopic_original,implied,0.9074733096085409,0.9715302491103203,0.9928825622775801,0.9409252669039145
onlytopic_nlp,request,0.9822064056939501,1.0,1.0,0.9911032028469751
onlytopic_nlp,described,0.8790035587188612,0.9750889679715302,0.9822064056939501,0.9250889679715302
onlytopic_nlp,implied,0.8754448398576512,0.9572953736654805,0.9750889679715302,0.9190391459074733
onlytopic_llm,request,0.9928825622775801,1.0,1.0,0.99644128113879
onlytopic_llm,described,0.8932384341637011,0.9750889679715302,0.9822064056939501,0.9341637010676157
onlytopic_llm,implied,0.896797153024911,0.9501779359430605,0.9857651245551602,0.9297153024911032
onlytitle,request,1.0,1.0,1.0,1.0
onlytitle,described,0.9145907473309609,0.9715302491103203,0.9893238434163701,0.9459667852906287
onlytitle,implied,0.9145907473309609,0.9572953736654805,0.9715302491103203,0.9369513641755634
desc_llm_no_title,request,0.9430604982206405,0.9750889679715302,0.9857651245551602,0.9617437722419929
desc_llm_no_title,described,0.8612099644128114,0.9537366548042705,0.9715302491103203,0.9066429418742586
desc_llm_no_title,implied,0.8576512455516014,0.9644128113879004,0.9715302491103203,0.9055160142348754
onlykey_original_no_title,request,0.3238434163701068,0.4697508896797153,0.505338078291815,0.3959074733096085
onlykey_original_no_title,described,0.28113879003558717,0.4377224199288256,0.498220640569395,0.36287069988137605
onlykey_original_no_title,implied,0.27402135231316727,0.4306049822064057,0.48398576512455516,0.35563463819691576
key_llm_no_title,request,0.5516014234875445,0.7402135231316725,0.797153024911032,0.6501779359430607
key_llm_no_title,described,0.45907473309608543,0.6441281138790036,0.7295373665480427,0.5602016607354686
key_llm_no_title,implied,0.47330960854092524,0.6548042704626335,0.7330960854092526,0.5724199288256228
full_llm_no_title,request,0.8896797153024911,0.9608540925266904,0.9750889679715302,0.9266903914590746
full_llm_no_title,described,0.8042704626334519,0.9145907473309609,0.9395017793594306,0.8619217081850534
full_llm_no_title,implied,0.8113879003558719,0.9430604982206405,0.9537366548042705,0.8720047449584816
